USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WY	56037970500	2644309195	15481222	1020.974	5.977	41.733068	-109.6934393                                                                                                                                
WY	56037970601	89184725	1232448	34.434	0.476	41.4995835	-109.3868484                                                                                                                                    
WY	56037970602	1497769	0	0.578	0.	41.4973671	-109.4560495                                                                                                                                               
WY	56037970700	2650753145	69980319	1023.462	27.02	41.2783954	-109.7622413                                                                                                                               
WY	56037970800	137604491	0	53.129	0.	41.6619799	-109.1693936                                                                                                                                            
WY	56037970902	7268629	0	2.806	0.	41.6038312	-109.2474624                                                                                                                                               
WY	56037970903	12277198	0	4.74	0.	41.574707	-109.2595702                                                                                                                                                
WY	56037970904	86184205	43943	33.276	0.017	41.689448	-109.2692562                                                                                                                                       
WY	56037970905	25399360	0	9.807	0.	41.6075655	-109.2796707                                                                                                                                              
WY	56037971000	128084741	0	49.454	0.	41.510689	-109.2272009                                                                                                                                             
WY	56037971100	12086311	0	4.667	0.	41.5624789	-109.1925447                                                                                                                                              
WY	56037971200	34902923	0	13.476	0.	41.5725257	-109.1487819                                                                                                                                             
WY	56037971600	21176201683	79492317	8176.178	30.692	41.6989973	-108.6548533                                                                                                                             
WY	56039967601	7990544572	428390689	3085.167	165.403	44.048662	-110.426087                                                                                                                              
WY	56039967602	2003174505	137621369	773.43	53.136	43.9186428	-110.7830361                                                                                                                               
WY	56039967701	60998666	93329	23.552	0.036	43.4731181	-110.6886424                                                                                                                                      
WY	56039967703	19660252	653092	7.591	0.252	43.5281457	-110.8394776                                                                                                                                      
WY	56039967704	199584340	3264367	77.06	1.26	43.4788719	-110.8788663                                                                                                                                     
WY	56039967801	6252324	20767	2.414	0.008	43.4612341	-110.7759002                                                                                                                                        
WY	56039967802	71567320	823580	27.632	0.318	43.4286916	-110.7408967                                                                                                                                     
WY	56041975201	49117114	638916	18.964	0.247	41.3470816	-110.264878                                                                                                                                      
WY	56041975202	2904854626	4462874	1121.571	1.723	41.2918255	-110.3273624                                                                                                                                
WY	56041975301	2281714886	2525114	880.975	0.975	41.2731629	-110.7970869                                                                                                                                 
WY	56041975302	24127319	0	9.316	0.	41.2320541	-110.9545869                                                                                                                                              
WY	56041975401	6756156	90192	2.609	0.035	41.2704074	-110.9827572                                                                                                                                        
WY	56041975402	125075003	8895382	48.292	3.435	41.3532973	-111.0075603                                                                                                                                   
WY	56043000200	5780730047	9728956	2231.952	3.756	43.8788305	-107.669052                                                                                                                                 
WY	56043000301	1993200	0	0.77	0.	44.0143691	-107.9563794                                                                                                                                                
WY	56043000302	15429218	686934	5.957	0.265	44.0287706	-107.9507483                                                                                                                                      
WY	56045951100	6100000350	5041727	2355.223	1.947	43.8462133	-104.5700202                                                                                                                                
WY	56045951300	110803770	183772	42.782	0.071	43.8596486	-104.2445128                                                                                                                                    
